artista,tipo,título_canción,nombre_album,año,genre
Billie Eilish,track,Therefore I Am,Happier Than Ever,2021,pop
Drake,track,Way 2 Sexy (with Future & Young Thug),Certified Lover Boy,2021,pop
Taylor Swift,track,We Are Never Ever Getting Back Together (Taylor's Version),Red (Taylor's Version),2021,pop
The Weeknd,track,Pray For Me,The Highlights,2021,pop
Drake,track,TSU,Certified Lover Boy,2021,pop
Gigi Perez,track,Sometimes (Backwood),Sometimes (Backwood),2021,pop
DJ Snake,track,U Are My High (with Future),U Are My High (with Future),2021,pop
Adele,track,Easy On Me,Easy On Me,2021,pop
Tory Lanez,track,Lady Of Namek,Alone At Prom,2021,pop
PinkPantheress,track,Break It Off - Bonus,to hell with it,2021,pop
Drake,track,Champagne Poetry,Certified Lover Boy,2021,pop
Billie Eilish,track,I Didn't Change My Number,Happier Than Ever,2021,pop
Tory Lanez,track,And This is Just The Intro,PLAYBOY,2021,pop
Tems,track,Replay,If Orange Was A Place,2021,pop
Young Stoner Life,track,That Go! (feat. T-Shyne),Slime Language 2,2021,pop
OneRepublic,track,Run,Human (Deluxe),2021,pop
Taylor Swift,track,Red (Taylor's Version),Red (Taylor's Version),2021,pop
Chase Matthew,track,Pull Up,County Line,2021,pop
Taylor Swift,track,Wildest Dreams (Taylor's Version),Wildest Dreams (Taylor's Version),2021,pop
Aventura,track,Volví,Volví,2021,pop
Olivia Rodrigo,track,hope ur ok,SOUR,2021,pop
Taylor Swift,track,The Way I Loved You (Taylor’s Version),Fearless (Taylor's Version),2021,pop
Nelly,track,Lil Bit (feat. Florida Georgia Line),Heartland,2021,pop
Amaarae,track,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),2021,pop
The Weeknd,track,Save Your Tears (with Ariana Grande) (Remix),Save Your Tears (Remix),2021,pop
Maroon 5,track,Payphone,Overexposed,2021,pop
Cody Johnson,track,Human,Human The Double Album,2021,pop
Taylor Swift,track,All Too Well (Taylor's Version),Red (Taylor's Version),2021,pop
Treaty Oak Revival,track,One Time Thing,No Vacancy,2021,pop
Taylor Swift,track,I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),Red (Taylor's Version),2021,pop
Billie Eilish,track,Getting Older,Happier Than Ever,2021,pop
Manuel Turizo,track,Quiéreme Mientras Se Pueda,Dopamina,2021,pop
Various Artists,track,Could Have Been Me,Sing 2 (Original Motion Picture Soundtrack),2021,pop
Drake,track,Get Along Better,Certified Lover Boy,2021,pop
Jordana,track,Summer's Over,Summer's Over,2021,pop
Feid,track,FRIKI,INTER SHIBUYA (FERXXO EDITION),2021,pop
Billie Eilish,track,Your Power,Happier Than Ever,2021,pop
Tory Lanez,track,Y.D.L.R.,PLAYBOY,2021,pop
Tai Verdes,track,AOK,TV,2021,pop
JP Saxe,track,If the World Was Ending (feat. Julia Michaels),Dangerous Levels of Introspection,2021,pop
Parker McCollum,track,Pretty Heart,Gold Chain Cowboy,2021,pop
Noah Kahan,track,Part of Me,I Was / I Am,2021,pop
Eyedress,track,Body Dysmorphia,Mulholland Drive,2021,pop
Billie Eilish,track,Male Fantasy,Happier Than Ever,2021,pop
Faye Webster,track,A Dream With a Baseball Player,I Know I'm Funny haha,2021,pop
Rauw Alejandro,track,La Old Skul,VICE VERSA,2021,pop
Taylor Swift,track,Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),Red (Taylor's Version),2021,pop
Marc Seguí,track,Tiroteo - Remix,Tiroteo (Remix),2021,pop
Drake,track,No Friends In The Industry,Certified Lover Boy,2021,pop
beabadoobee,track,Cologne,Our Extended Play,2021,pop
Magdalena Bay,track,Killshot - Slowed + Reverb,Killshot (Slowed + Reverb),2021,pop
Doja Cat,track,Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),2021,pop
Justin Bieber,track,Lonely (with benny blanco),Justice,2021,pop
Duran Duran,track,INVISIBLE,FUTURE PAST,2021,pop
Adele,track,Oh My God,30,2021,pop
Bailey Zimmerman,track,Never Comin' Home,Never Comin' Home,2021,pop
Chayce Beckham,track,23,23,2021,pop
Tems,track,Found (feat. Brent Faiyaz),Found (feat. Brent Faiyaz),2021,pop
Joyner Lucas,track,Ramen & OJ,Ramen & OJ,2021,pop
LISA,track,MONEY,LALISA,2021,pop
Post Malone,track,Motley Crew,Motley Crew,2021,pop
Imagine Dragons,track,Enemy (with JID) - from the series Arcane League of Legends,Enemy (with JID) [from the series Arcane League of Legends],2021,pop
ACRAZE,track,Do It To It,Do It To It,2021,pop
Stellar,track,El Dorado,El Dorado,2021,pop
Tones And I,track,Dance Monkey,Welcome To The Madhouse (Deluxe),2021,pop
Chri$tian Gate$,track,NUMB,NUMB,2021,pop
Larry Fleet,track,Where I Find God,Stack of Records,2021,pop
Riton,track,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],2021,pop
Rauw Alejandro,track,Aquel Nap ZzZz,VICE VERSA,2021,pop
ENHYPEN,track,Drunk-Dazed,BORDER : CARNIVAL,2021,pop
Bruno Mars,track,After Last Night (with Thundercat & Bootsy Collins),An Evening With Silk Sonic,2021,pop
Billie Eilish,track,Oxytocin,Happier Than Ever,2021,pop
Taylor Swift,track,I Knew You Were Trouble (Taylor's Version),Red (Taylor's Version),2021,pop
Ethel Cain,track,Crush,Inbred,2021,pop
D.O.D,track,Still Sleepless,Still Sleepless,2021,pop
Drake,track,What’s Next,Scary Hours 2,2021,pop
LAGOS,track,Mónaco,Clásicos,2021,pop
